FoodExp,Residence,HholdSize,RestMeals,Gender,Age,Income
414.144,1,2,2,1,68,4210.991
428.712,1,2,0,1,63,3233.719
791.784,1,5,4,1,37,3588.363
485.424,1,5,0,1,50,4491.991
340.188,1,2,0,0,59,1712.253
118.764,1,1,0,0,80,883.195
284.76,1,2,0,1,75,1452.262
933.648,1,5,0,1,35,2591.814
200.688,1,2,0,1,65,1407.404
358.02,1,3,0,1,48,2634.338
228.864,1,2,0,1,69,1251.951
145.8,1,2,0,0,45,2082.552
248.892,1,1,0,0,66,873.482
311.568,1,1,25,1,35,1878.65
186.708,1,1,1,1,28,1276.05
218.94,1,1,0,0,29,1195.575
201.984,1,1,0,0,42,1649.225
211.032,1,1,0,0,28,1680.886
103.092,1,1,0,0,83,1198.495
774.036,1,4,0,1,62,3128.569
425.196,1,2,0,1,60,3863.631
805.38,1,2,2,1,65,2065.718
357.516,1,3,0,1,36,2480.795
509.124,1,2,2,1,74,1446.554
362.46,1,2,0,1,30,2828.576
393.768,1,3,0,1,31,1855.7
125.232,1,1,0,0,65,1111.834
355.128,1,3,0,1,60,1814.575
172.344,1,1,0,0,47,1971.417
605.808,1,3,5,1,35,3795.306
119.28,1,1,0,0,81,872.412
222.9,1,2,0,1,60,1933.12
166.236,1,2,0,0,44,1768.825
186.492,1,1,0,0,66,944.988
97.08,1,1,0,0,63,693.173
412.788,1,3,0,1,39,2574.032
220.596,1,3,0,1,55,2371.011
793.236,1,4,0,1,54,6518.469
172.68,1,1,0,1,60,683.54
277.236,1,1,0,0,59,1211.12431875
500.232,1,1,0,0,72,503.4
491.652,1,2,0,1,53,2403.857725
155.784,1,2,0,0,44,695.96
197.28,1,1,0,1,54,1081.146
261.804,1,2,0,1,30,2573.645
166.164,1,1,0,0,24,679.305
568.8,1,3,0,1,54,1544
737.184,1,4,0,1,40,3220.08888125
149.736,1,1,0,0,72,962
708.444,1,5,0,0,67,1596.412
248.52,1,2,0,1,56,1871.916
541.548,1,4,0,1,36,785.381
222.72,1,1,0,0,75,672.2
388.98,1,3,0,0,44,1251.82
490.284,1,2,0,1,55,1168.377
237.216,1,2,0,0,43,1553.98
203.748,1,1,0,0,62,544
296.268,1,4,0,0,57,1119.47
431.76,1,2,0,1,58,1252.94
326.268,1,4,0,1,53,3125.291
1056.912,1,4,0,1,60,2378.524925
656.28,1,3,0,1,29,3877.751
431.952,1,3,0,1,50,3181.072
357.828,1,2,0,1,61,1908.802
320.592,1,2,0,0,91,1349
847.38,1,3,0,1,42,1888.201
201.696,1,1,0,1,65,1208
272.952,1,2,0,1,67,1233
435.948,1,2,0,1,55,2385.138
299.58,1,3,0,0,52,1574.845
208.572,1,1,0,0,70,675
217.644,1,2,0,0,55,686.6
691.728,1,4,0,1,28,1355.767
183.624,1,1,0,0,64,760.999
204.084,1,2,0,1,71,644.4
261.96,1,1,0,0,51,766.873
195.096,1,1,0,0,31,1069.35
260.208,1,2,0,1,83,1106
139.68,1,2,0,1,37,1365.996
207.42,1,2,0,1,73,1538.5
857.352,1,3,7,1,34,3080.09
348.24,1,2,0,1,93,718
568.068,1,3,0,0,29,1767.608
652.608,1,4,0,1,28,1628.733
129.396,1,2,0,1,44,695.6
130.632,1,1,0,0,76,746
481.584,1,4,0,1,40,3656.118
677.664,1,3,0,1,38,1430.175
863.688,1,3,0,1,52,2444.906
149.028,1,1,0,0,66,692
548.22,1,4,0,1,28,2560.733
414.708,1,2,0,1,49,1489.607
381.408,1,5,0,1,34,3601.509
285,1,3,0,1,30,1667.781
132.552,1,1,0,0,70,680
452.88,1,2,0,1,26,1709.42
898.944,1,2,0,1,32,3740.291
452.928,1,2,0,1,62,2296.451
516.204,1,2,0,1,66,2061.45
399.576,1,5,0,1,39,2137.23
1015.308,1,3,0,1,50,3639.322
675.276,1,3,0,1,49,4056.485
756.852,1,3,0,1,75,1384.8
395.556,1,3,0,1,27,1674.351
302.7,1,2,0,1,20,776.253
153.24,1,3,0,0,39,1650.585
179.556,1,1,0,1,72,902
784.14,1,5,0,1,52,3067.919
192.264,1,1,0,0,63,649.24
298.968,1,5,0,1,31,1637.187
427.416,1,2,1,1,43,1745.44
462.276,1,4,0,1,46,3434.8903875
277.548,1,1,0,0,61,1048.733
265.032,1,1,0,1,50,1827.368
432.192,1,5,0,1,41,3025.8
288.084,1,2,0,0,57,1934.376
210.384,1,1,0,0,65,2964
455.736,1,3,0,1,51,1676.846
338.328,1,3,0,1,35,3977.08
937.056,1,6,0,1,39,4484.976
255.696,1,3,0,1,54,1379.16
689.7,1,4,0,1,49,2904.637
205.584,1,2,0,1,50,2244.373
611.376,1,3,0,1,36,4063.29
434.268,1,2,0,1,52,3855
616.344,1,2,0,1,58,2364.636
243.168,1,2,0,1,46,1428.8
527.088,1,4,0,1,43,1670.4
311.172,1,3,0,0,52,1562.6
450.108,1,4,0,1,43,2376.6
394.524,1,2,2,1,58,2295.8845
417.252,1,3,0,1,30,1515.775
462.156,1,2,6,1,61,1827.372
733.752,1,4,8,1,37,3523.468
391.092,1,3,0,1,37,2249.405
226.008,1,2,0,0,35,1126.893
302.292,1,2,0,1,54,1660.157
661.488,1,3,1,1,35,669.8
260.16,1,2,0,1,52,2661.19
248.604,1,2,0,1,31,2436.02
140.58,1,2,0,1,30,2426.484
509.04,1,2,0,1,67,1548
413.172,1,3,0,1,61,1776.072
437.148,1,4,0,1,28,1850.9375
283.644,1,2,0,0,37,1630.847
268.56,1,2,4,1,25,2941.152
678.624,1,2,8,1,58,5391.417
1000.284,1,7,0,1,35,3278.0425
228.84,1,1,0,1,22,1333.8
184.452,1,1,0,1,58,2026.9
215.676,1,2,0,1,52,3177.375
271.248,1,2,0,1,62,1790.008
379.86,1,4,0,1,30,2160.2321125
354.084,1,2,0,0,57,1650.73
318.468,1,2,0,0,33,1968.407025
403.428,1,2,1,0,35,1473.793
319.116,1,2,0,1,41,2884.25
468.072,1,3,0,1,60,2046.791
530.676,1,4,0,1,59,1398.827
396.096,1,1,2,1,37,343.556
152.772,1,1,0,0,24,1860.793
271.188,1,1,0,0,49,2014.409
229.992,1,3,0,1,35,2915.792
261.432,1,1,0,0,68,734.4
238.272,1,3,0,1,56,1761.343
393.888,1,3,1,1,53,2579.523
466.836,1,1,5,1,31,2024.456
416.712,1,2,2,0,56,2361.829
797.052,1,4,0,1,44,3437.38
501.624,1,3,0,1,34,3551.4788
412.464,1,6,0,1,47,3193.002
339.276,1,2,0,1,32,1392.0375
180.912,1,2,0,1,56,839.232
334.968,1,2,0,1,83,1811.9
238.308,1,2,0,0,77,1023.815
77.556,1,1,0,0,77,582.388
333.288,1,2,0,1,63,1895.81
297.48,1,1,3,0,26,1279.2
862.992,1,4,0,1,40,4786.275
316.416,1,2,2,1,46,4840.169
142.788,1,4,0,1,58,1370.731
471.84,1,3,0,1,35,2896.9
410.568,1,4,2,1,46,4381.675
397.548,1,2,1,1,59,1484.483
214.38,1,1,0,0,53,474.528
404.952,1,4,0,0,59,3258.708
323.112,1,4,0,1,43,2475.117
498.768,1,2,0,0,37,1583
256.656,1,3,0,1,34,1249.251
252.72,1,3,0,1,41,1234.829575
59.172,1,1,0,0,74,634
166.476,1,2,0,1,55,1264
219.42,1,3,0,0,53,1844.725
428.088,1,3,0,1,33,1866.468
291.516,1,2,0,0,52,1589.863
108.024,1,2,0,0,51,1893.988
92.208,1,1,0,0,56,571.606
280.416,1,2,0,1,74,1680
80.268,1,1,0,0,70,878.64
406.752,1,4,0,1,59,1055.432
89.616,1,1,0,0,78,791
188.976,1,1,0,0,88,707
190.44,1,2,0,1,70,1582
265.968,1,2,0,1,57,1492.875
386.652,1,3,0,1,52,1742.495
145.512,1,4,0,1,41,1435.024
229.872,1,2,0,0,52,1375
246.42,1,2,0,1,60,1701.363
311.076,1,1,31,1,26,1143.5
105.576,1,2,0,1,54,1117
110.1,1,1,0,1,77,767
238.2,1,1,0,1,37,1065.5
179.472,1,1,5,0,34,2181.04936
311.988,1,2,0,1,55,1320.844
198.528,1,2,0,1,62,995
264.084,1,1,0,0,53,1001.973
226.632,1,1,0,1,35,491.712
389.52,1,2,0,1,55,1550
252.84,1,1,0,0,71,720
175.932,1,1,0,0,55,214.435
453.816,1,3,0,1,29,3008.575
127.608,1,1,0,0,78,685
200.004,1,1,0,0,70,825
463.488,1,6,0,1,33,1918.964
236.232,1,1,0,0,54,566
361.236,1,2,0,1,72,1200
338.916,1,2,0,1,64,1565
181.68,1,1,0,0,83,616
185.988,1,2,0,1,55,3519.3545
282.132,1,4,0,1,34,1739.275
393.852,1,5,0,1,39,2761.4
232.632,1,1,0,0,49,2110.097
376.212,1,3,0,1,62,2450
429.372,1,3,0,0,44,1523.388
225.48,1,3,0,1,63,3391.57
223.332,1,5,0,1,48,1658.355
518.472,1,4,0,1,27,756.983
402.684,1,5,0,1,46,2470.0275
764.688,1,3,17,1,59,5785.609
273,1,1,0,0,89,444.27
363.276,1,3,0,0,44,1250.628
294.3,1,2,0,1,65,2189.559
244.668,1,2,0,1,54,1428.875
102.36,1,1,0,0,84,501.697
266.004,1,2,0,0,49,1034.46
443.88,1,4,1,1,43,1215.65
230.496,1,2,0,0,53,2232.806
343.608,1,2,0,0,53,2620.008
151.236,1,1,0,0,67,920.565
950.244,1,3,0,1,32,2733.656
595.164,1,4,0,1,39,2179.300975
269.736,1,1,0,0,79,739.342
572.028,1,4,0,1,39,1733.034
740.412,1,4,0,1,36,1113.525625
306.672,1,2,8,1,28,2525.83
139.86,1,3,0,1,61,2353.13
540.06,1,4,0,1,44,2725.904
84.912,1,1,0,0,73,466.702
114.564,1,3,0,1,48,908.845
247.98,1,2,0,0,51,679.04
443.34,1,5,0,1,49,2340.1
248.616,1,2,0,0,54,1450.325
745.932,1,4,0,1,35,645.08
622.572,1,4,13,1,55,4449.324
279.732,1,1,0,1,50,1431.5
355.86,1,2,0,0,49,2420.67
236.004,1,2,0,1,29,1501.469
477.66,1,4,0,1,38,2118.852
279.396,1,4,0,1,57,4495.01025
113.7,1,1,0,0,66,1063.11
443.712,1,4,0,1,31,1380.714
121.116,1,1,1,0,58,875.963
251.856,1,3,0,1,28,1109.85
157.968,1,1,0,0,55,1096.9275
335.268,1,3,0,1,33,1969.678
337.272,1,4,0,1,35,1616.57475
542.952,1,3,3,1,34,4047.55
147.012,1,1,0,1,67,615
315.228,1,3,0,0,64,967.518
523.824,1,4,0,1,64,2502.055
741.576,1,6,0,0,33,2822.245
382.86,1,4,0,1,36,2770.651
554.388,1,2,2,0,54,1829.081
186.312,1,1,0,0,82,608
153.384,1,1,10,0,41,2052.0992875
854.988,1,4,2,0,37,2602.368
430.5,1,2,0,1,68,2134
328.116,1,3,0,1,23,526.675
251.76,1,3,2,1,28,3249.529
208.572,1,1,0,0,64,907.536
342.012,1,1,0,0,59,1014
503.808,1,3,5,1,54,4370.891
53.316,1,1,0,0,54,732.444
490.176,1,3,1,0,55,1055.432
217.788,1,1,0,0,74,1016.2
450.264,1,4,0,1,28,649.251
255.648,1,1,0,0,60,1913.513
696.024,1,4,0,1,40,2206.5
285.216,1,1,0,0,85,516
621.66,1,4,0,1,33,3855.6715
783.54,1,4,0,1,37,7512.522
788.52,1,3,0,1,34,4201.272
580.776,1,4,0,1,56,1937.3388676923
825.972,1,5,0,1,34,2882.747
971.4,1,4,0,1,37,2291.628
306.288,1,2,0,0,62,1428.475
308.94,1,2,0,1,71,2982
311.424,1,2,0,0,48,1780.7
1014.636,1,6,0,1,51,4591.475
534.912,1,5,0,1,49,2630.6
189.048,1,2,0,1,67,1137
598.344,1,3,0,1,55,1917.435
537.744,1,4,0,1,59,3570.74
474.66,1,2,0,1,27,2085.5075
318.72,1,3,0,1,55,949.19
317.928,1,6,0,1,29,3446.606
157.368,1,2,0,0,31,698.075
166.944,1,1,0,0,76,649.85
360.252,1,3,0,1,56,2638.065
236.436,1,1,0,0,52,1460.708
296.532,1,1,0,0,83,895.15
291.684,1,1,0,0,56,1630.757
359.208,1,3,0,1,54,1622.49
520.764,1,3,0,1,32,966.835
637.476,1,5,0,0,51,1155.04
366.3,1,1,0,0,56,1303.402
209.04,1,2,0,0,51,1274.975
475.032,1,4,0,0,38,1905.3
131.352,1,2,0,1,82,1202.9
444.252,1,1,0,0,65,1292.2
125.196,1,1,0,0,64,708
110.76,1,1,0,0,67,417.725
351.696,1,3,0,1,48,1322.124
459.864,1,3,0,1,52,3073.8
347.304,1,2,0,1,75,1702.75
359.868,1,1,0,0,30,1326.8
231.552,1,2,0,1,66,1440
318.996,1,4,0,1,53,1655.432
300.156,1,1,7,0,53,1181.04
375.06,1,3,0,1,49,2607.95
629.892,1,6,0,1,34,2820.41
807.24,1,4,0,1,42,3127.75
268.86,1,2,0,0,51,1481.1625
588.66,1,4,0,1,38,2254.6
194.208,1,1,0,0,21,260
122.124,1,1,0,0,67,530
92.784,1,1,0,0,74,806.916
466.02,1,4,0,1,45,1942.3
397.452,1,2,0,1,83,1276.4
435.204,1,1,0,1,38,1129.503
510.144,1,1,4,0,60,568
448.272,1,2,0,1,52,1848.302
410.784,1,3,0,1,50,5590.539
389.088,1,1,0,0,55,1343.84
267.336,1,3,0,0,36,877
273.792,1,2,0,1,54,1383.362
382.116,1,4,0,1,57,2483.615
406.092,1,2,3,1,58,3299.389
349.896,1,4,0,1,54,7454.052
391.716,1,4,0,1,45,2309.861
544.596,1,4,0,1,49,4370.891
349.776,1,2,0,0,48,855.45
325.596,1,2,0,0,28,3727.026
187.716,1,2,0,0,52,1433.25
339.264,1,2,0,1,61,1650
356.628,1,2,0,1,76,1565
408.456,1,4,0,1,60,2033.137
804.048,1,5,0,1,59,8257.607
198.936,1,1,0,0,70,900
392.076,1,2,0,1,67,1964.1
207.552,1,2,0,1,40,2507.378
328.08,1,4,0,1,35,2344.9
309.792,1,2,0,1,25,989.444
348.504,1,2,0,1,27,3727.026
267.684,1,2,0,0,28,1238.6
241.116,1,2,0,1,27,2380.05
183.936,1,1,0,1,67,918.8
385.524,1,3,0,1,43,2905.210525
411.336,1,2,0,1,56,2449.759
281.88,1,2,0,1,72,1697.7
372.048,1,1,0,0,26,1423.112
371.16,1,1,0,0,32,2397.697
454.32,1,1,0,0,34,1517.78
268.428,1,2,0,0,46,994.8
163.944,1,1,0,0,31,1167.295
342.42,1,2,0,1,74,1960.3
354.828,1,2,0,0,41,1893.195
308.544,1,3,0,1,53,406.181
171.36,1,3,0,1,57,2116.21
631.452,1,2,0,1,44,2706.474
209.748,1,1,0,1,59,884.3
631.44,1,4,0,1,42,3514.6067425
344.712,1,3,0,1,47,1843.829
384.324,1,4,0,1,38,5511.0985
330.252,1,2,0,1,65,1692
199.716,1,2,0,1,26,1339.603
482.208,1,3,0,1,38,2875.798
193.632,1,1,0,0,22,225
361.812,1,4,0,1,27,2162.347
316.152,1,3,0,1,63,2855.325
341.1,1,3,0,1,33,2290.123
346.956,1,4,0,1,43,2211.55
295.716,1,2,0,1,71,1633
745.032,1,2,0,1,33,3150.72
736.5,1,3,0,1,47,3536.593
720.42,1,4,0,1,29,7084.8
338.148,1,3,0,1,50,2725.575
410.34,1,1,0,0,54,1084.34
239.988,1,1,0,0,58,804
263.028,1,1,0,0,71,977
250.008,1,2,0,1,64,1269.2
414.036,1,3,0,1,66,2289.748
271.428,1,2,10,1,30,1892.3164625
473.184,1,3,0,1,38,2653.4264625
101.976,1,1,0,1,76,688.5
258.744,1,1,0,0,63,658.096
715.008,1,4,4,1,48,2660.816
702.6,1,2,0,1,33,2968.22105625
378.516,1,3,0,1,60,2938.771
451.764,1,1,0,0,58,1165.593
333.672,1,2,0,1,32,2142.15098
129.336,1,1,0,1,73,720
923.496,1,4,0,1,38,3023.41268125
600.948,1,1,0,1,34,1460.2792
355.176,1,3,0,1,50,2114.431
622.38,1,4,0,1,49,2650.43706375
222.12,1,2,0,1,63,960
720.492,1,4,0,1,38,2195.535
586.104,1,3,0,1,36,1662.5875
205.848,1,2,0,1,42,2215.9695
351.9,1,4,0,1,37,2997.59875
844.86,1,3,0,1,31,2417.656
375.408,1,4,0,1,36,2640
768.3,1,2,0,1,28,2766.07551
678.624,1,3,0,1,31,3324.704
299.028,1,2,0,0,30,1445.93540125
448.02,1,3,0,1,28,3236.926
317.928,1,3,0,1,51,1559.355
358.056,1,2,0,1,64,1793.143
158.244,1,1,0,1,62,642.445
530.268,1,3,0,1,47,2772.411
850.044,1,5,0,1,46,3483.455
603.06,1,3,0,1,73,1270.368
640.548,1,4,0,1,57,2737.805
316.656,1,3,0,1,32,2062.885
161.124,1,1,0,0,67,665.941
303.756,1,2,0,1,56,2098.026
481.98,1,3,0,1,38,1282.16
484.152,1,2,0,1,56,1374.439
258.144,1,3,0,1,59,2405.045
543.996,1,4,0,1,56,2144.676
631.908,1,4,0,1,48,3194.5
727.8,1,4,0,1,59,2671.775
310.896,1,5,0,1,58,2629.306
565.056,1,2,0,0,53,520
540.732,1,3,0,1,43,1916.125
406.08,1,3,0,0,51,1482.764
492.216,1,4,0,1,50,2537.74
205.548,1,3,0,1,30,964.3
728.292,1,4,0,1,45,1970.2
464.868,1,2,0,0,65,1054.327
820.536,1,4,0,0,45,2462.3
501.624,1,4,0,1,46,2334.7
544.92,1,4,0,1,46,1842.8
606.72,1,4,0,1,32,1851.521
238.248,1,1,0,0,76,522.38
1460.472,1,6,0,1,40,5256.248
460.092,1,3,1,1,41,2838.771
1363.344,1,3,8,1,40,10289.115
186.324,1,1,1,1,60,1193.2
177.48,1,2,0,0,73,1143.143
438.3,1,4,0,1,45,2341.2
183.648,1,1,0,0,56,742.677
497.868,1,5,0,1,32,1873.522
874.716,1,3,3,1,43,3738
150.852,1,1,0,1,74,607.719
221.424,1,1,0,0,62,996.255
686.076,1,4,0,1,34,2747.991
230.94,1,2,0,1,38,736.887
164.076,1,1,0,1,51,569.331
739.416,1,2,26,1,51,2070.825
437.508,1,1,0,0,50,2079.5
217.476,1,4,0,0,53,1729.731
402.216,1,2,0,0,54,1726.35
885.156,1,3,0,1,48,3137.52
154.2,1,2,0,1,63,993.2
515.772,1,2,0,1,58,1899.971
326.1,1,2,0,0,52,1833.922
246.912,1,2,0,1,30,1321
410.22,1,4,0,1,45,1241.268647619
475.176,1,1,0,0,59,856.338
211.488,1,1,0,0,71,581.942
243.288,1,2,0,1,73,1197.843
362.028,1,2,0,1,50,970.2
147.9,1,1,0,0,66,613.309
445.392,1,3,0,1,33,1451.936
380.388,1,1,0,0,58,890.531
1195.188,1,2,0,1,60,4438.5
456.348,1,2,0,1,45,1739.945
1038.012,1,4,0,1,52,8658.3
643.164,1,4,0,1,48,3020.2827117898
580.032,1,4,10,1,40,1448.7870670769
414.216,1,2,0,0,40,1174.237
307.632,1,1,0,0,67,550.748
393.612,1,3,0,1,63,2976.46
115.08,1,1,0,0,46,762.153
689.4,1,4,0,1,46,3392.152
366.684,1,3,0,1,58,1211.612
424.044,1,3,0,1,60,2632.465
117.636,1,1,0,0,32,1371.9
172.188,1,3,0,0,56,1684.558
313.128,1,2,0,0,69,1867.427
168.372,1,1,0,0,46,512.532
466.656,1,4,0,1,44,1689.8
331.476,1,1,3,0,25,1588.6875
531.468,1,3,0,1,53,2136.892
1145.64,1,4,0,1,48,3874.6545
277.908,1,2,0,1,80,1128
365.616,1,2,0,1,32,3402.4
681.384,1,5,0,1,66,4388.5
204.156,1,1,0,0,82,906.5
530.616,1,2,0,1,63,2529.51
524.472,1,3,0,1,51,1995.2
834.012,1,5,0,1,53,4082.1
343.008,1,1,0,0,79,836.6
546.192,1,4,0,1,41,4730.35
222.78,1,1,0,1,62,1004
931.98,1,4,4,1,47,4576.784
457.02,1,2,2,0,54,1984.072
183.264,1,1,0,0,58,947
326.58,1,1,5,0,28,1226.805
103.74,1,1,0,0,76,830
396.72,1,1,4,0,27,1676.6
299.388,1,2,0,1,59,1350.466
1128,1,4,24,1,34,6863.074
386.244,1,1,0,1,30,2684
361.98,1,2,0,0,38,1953.8
407.724,1,1,0,1,26,1573.646
247.944,1,1,0,0,33,1587.75
225.744,1,3,0,0,40,1419
261.888,1,1,0,0,61,1878.17
542.064,1,2,0,1,29,2222.75
928.68,1,4,4,1,50,6041.015
611.808,1,4,0,1,57,6311.8
778.272,1,3,2,1,35,4795.2
134.076,1,1,0,1,78,575
136.284,1,1,0,1,46,714
231.54,1,2,0,1,35,2019.76
395.532,1,2,0,1,85,1612
171.996,1,1,0,0,72,626
451.764,1,5,0,1,49,1836.264
391.596,1,2,0,0,57,4400
178.584,1,1,0,0,60,805
439.956,1,2,0,1,73,1885
395.412,1,3,0,1,44,2035.4
0,1,2,0,1,75,1228
315.648,1,1,0,0,35,2038.046
149.532,1,1,0,0,77,683
227.904,1,2,0,0,49,1036.5
771.468,1,2,2,1,26,3628
631.836,1,3,0,1,57,2645.645
651.108,1,2,0,1,53,1840.379
475.584,1,1,0,0,68,1125
254.52,1,2,0,0,38,1364.772
456.996,1,2,0,1,30,1472.661
1044.552,1,3,1,1,54,2302
373.884,1,2,0,1,56,1569.681
247.716,1,1,0,0,42,516.668
167.112,1,1,0,0,72,998
170.472,1,1,0,0,74,756
312.816,1,1,0,1,28,1292.857
412.872,1,2,2,1,25,2229.888
232.116,1,1,0,0,82,780
451.656,1,2,0,1,28,2650.423
146.1,1,1,0,0,57,600
113.292,1,2,0,0,30,1933.463
199.932,1,1,0,1,33,709.45
710.28,1,2,3,0,38,5745.328
459.456,1,2,0,1,61,5206.163
340.8,1,2,0,1,27,1281.6310625
338.496,1,3,0,1,49,2702.401
287.616,1,3,0,1,60,3109.806
222.12,1,2,0,0,74,1072
580.344,1,1,2,1,35,1904.7130375
147.288,1,1,0,0,76,766.8
177.468,1,1,0,0,80,859
281.52,1,1,0,0,84,1232
379.608,1,3,0,1,62,2245.75
525.492,1,2,0,1,58,1996.92
415.068,1,2,0,0,48,1589.15
827.58,1,4,3,1,36,2740.82
516.528,1,3,0,0,23,2800
330.372,1,3,0,1,34,3483.455
816.144,1,4,0,1,37,3431.9
382.92,1,2,1,1,80,7241
186.576,1,2,0,0,81,1497
563.58,1,4,0,1,37,3041.136
1339.332,1,1,6,1,40,3401.847
201.72,1,1,0,0,80,530.57
205.668,1,2,0,0,59,1358.72
196.596,1,1,0,0,71,876
194.88,1,2,0,0,48,1152.764
277.512,1,2,0,1,75,1310
192.12,1,1,0,0,67,901
98.724,1,1,0,0,83,504
208.464,1,2,0,1,37,1633.133
469.824,1,3,0,1,35,1774.92
319.32,1,2,0,1,29,1651.646
251.64,1,3,0,1,50,1433.768
440.256,1,2,0,1,40,1293.359
358.2,1,4,0,1,56,2443.514
337.956,1,4,0,1,42,2800.321
379.164,1,3,0,0,36,2221.95
280.968,1,2,0,1,45,1169.2
243.852,1,1,0,0,53,1038.48
350.448,1,4,0,1,35,2857.606125
457.992,1,4,0,0,43,2707.468
151.344,1,1,0,0,78,1109
310.5,1,2,0,1,28,1998
740.784,1,2,6,1,29,3316.849
393.096,1,3,0,1,32,1932
507.672,1,4,0,1,47,2568.78
224.004,1,1,0,0,69,1197
424.548,1,3,0,1,56,3913.371
369.144,1,3,0,1,61,2969.96
1334.82,1,3,12,1,52,9043.018
494.436,1,4,0,1,44,2617.007
276.78,1,1,0,0,74,2106.564
457.428,1,4,0,1,53,2465.282
313.98,1,5,0,1,55,4031.06
592.728,1,5,0,1,45,3044.91
604.092,1,2,0,1,62,3037.495
124.332,1,1,0,0,71,1365
288.324,1,1,16,1,25,890
276.132,1,1,0,0,70,790
379.56,1,3,0,1,60,1920.224
322.848,1,2,0,1,73,1402
308.808,1,2,0,0,50,1608
749.724,1,4,0,1,53,4772.859
212.316,1,1,0,0,52,856
394.74,1,2,0,0,88,1488
631.644,1,1,4,1,27,2174.135
1051.368,1,1,0,1,21,3595.3
238.272,1,1,0,1,44,1496.474
626.796,1,4,0,1,31,2838.86
682.464,1,5,0,1,52,5143.335
651.78,1,2,3,1,58,5029.41
434.58,1,3,0,1,41,2806.719
176.772,1,1,0,0,63,1043
208.608,1,2,0,0,52,1003
621.168,1,4,0,1,36,3991.417
346.728,1,3,0,1,51,2247.531
157.92,1,1,0,0,52,1012.194
